id,doc,chain,sourceLink,token,gapWords,roleType,charCount,tokenCount,gapUnits,referential,lit,Col.0,chunkLayer,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,chainSize,entityType,trailLayer,layer,unitSeqFirst,unitSeqLast,treeEntry,TextNoTsheg,TextNoCase,case,yang,possessor,person,reflexive,pronType,definite,identifiable,semrole,lexicality,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,verbTokenSeqFirst,combinedChunk,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local
5DD9DD8DC880,three-flirt-2501,1DBF858CB21D9,,AFAE809FE527,10,P,9,2,1,R,,,,cog  lags ,ཅོག་ ལགས་,2,3,137,138,19,zla sgron gyi dga' rogs,6,person,NA,refexpr,34,34,F35CEEAEE339,ཅོག་ ལགས,ཅོག་ལགས,,,FALSE,0,N,nonPron,na,i,theme,l,<0> ཅོག་ ལགས་ ཟེར་ ན་ <0> ག་རེ་ ཟེར་ གྱི་ རེད །,2FCE0042D71FC,2E7577E346C08,ཟེར་ ན་,ཟེར,ན,Q,None,Neutral,Cond,139,,1,0,3,0,1,0,3,0,0,0,0,0,0,FALSE,TRUE
2808926EC16DF,three-flirt-2501,1B241344A090D,,1D29C9766C86,N/A,P,5,1,N/A,R,,127,,ga re ,ག་རེ་,7,7,142,142,26,ga re,1,abstract,NA,refexpr,34,34,222307D070826,ག་རེ,ག་རེ,,,FALSE,3,N,inter,d,i,theme,p,<0> ཅོག་ ལགས་ ཟེར་ ན་ <0> ག་རེ་ ཟེར་ གྱི་ རེད །,161374F0A8273,CB70173F1A5D,ཟེར་ གྱི་ རེད,ཟེར,གྱི་ རེད,Q,Ind,Fut,NA,143,,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
1F754F2167565,three-flirt-2501,10D53978FDD25,1B6F9DBF89ACC,353D32DA9FDE1,31,A,2,1,5,R,,138,,nga ,ང་,1,1,155,155,1,phur sgron,14,person,NA,refexpr,38,38,10A7389AE7AA4,ང,ང,,,FALSE,1,N,pers,d,i,agent,p,ང་ དགའ་རོགས་ འགྲིག་ མིན་,4A327F6D5391,319B2CD776942,འགྲིག་ མིན་,འགྲིག,མིན,Ind,None,Neutral,NA,157,,1,1,0,1,6,4,0,4,5,3,0,3,0,FALSE,TRUE
1CC4E9095B3EA,three-flirt-2501,1DBF858CB21D9,35903C795D41E,F479A86C80BF,3,P,9,1,1,R,,139,,dga' rogs ,དགའ་རོགས་,2,2,156,156,19,zla sgron gyi dga' rogs,6,person,NA,refexpr,38,38,3267AF08DCC60,དགའ་རོགས,དགའ་རོགས,,,FALSE,3,N,nonPron,na,i,theme,l,ང་ དགའ་རོགས་ འགྲིག་ མིན་,4A327F6D5391,319B2CD776942,འགྲིག་ མིན་,འགྲིག,མིན,Ind,None,Neutral,NA,157,,4,1,0,1,4,1,0,1,0,0,0,0,0,FALSE,FALSE
6F753C3A7CCA,three-flirt-2501,1AAFAB8F7CC73,C10BD7573ABE,4BAAE3E746AF,23,S,3,1,5,R,,142,,rang ,རང་,1,1,159,159,17,zla ba,5,person,NA,refexpr,39,39,4F4F1AF94F3,རང,རང,,,FALSE,3,?,refl?,d,i,theme,p,རང་ ག་འདྲ་སེ་ ཧ་ གོ་ གི་ ཡོད །,23C3AF8711449,1ED04F5D607B0,ཧ་ གོ་ གི་ ཡོད,ཧ་ གོ,གི་ ཡོད,Q,Ego,Pres,NA,161,,1,1,1,1,1,2,1,2,0,1,0,1,0,FALSE,FALSE
1E19E5534B345,three-flirt-2501,2B70CF700CAFC,,A37607829130,N/A,P,5,1,N/A,R,,158,,ga re ,ག་རེ་,2,2,178,178,27,ga re,1,abstract,NA,refexpr,43,43,1FAB1286B5151,ག་རེ,ག་རེ,,,FALSE,3,N,inter,d,i,theme,p,<0> ག་རེ་ བཤད་ ན འང་ ,8A2DD51EF76D,252A1AC55D12E,བཤད་ ན འང་,བཤད,ན འང,Q,None,Neutral,EvenIf,179,,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
26EC03F053BBF,three-flirt-2501,16B537FEE9FFC,370F5C72CD8F0,22DCCDBE8B1BA,104,COPS,6,2,20,R,,,NA,nga  tsho ,ང་ ཚོ་,1,2,183,184,13,phur sgron dang zla ba ,5,person,NA,refexpr,44,44,236BDDA773E83,ང་ ཚོ,ང་ཚོ,,,FALSE,1,N,pers,d,i,theme,p,ང་ ཚོ་ སྔོན་མ་  སློབ་གྲོགས་ རྙིང་པ་ རེད་པ །,12A80B0DD3BDA,32358E9902733,རེད་པ,རེད,པ,Ind,Ind,Neutral,Nom?,189,,0,0,1,0,1,0,1,0,1,0,0,0,0,FALSE,TRUE
29FE220916B10,three-flirt-2501,16B537FEE9FFC,38297A873040,122AF3C47372B,4,PRED,19,2,0,NR,,,NA,slob grogs  rnying pa ,སློབ་གྲོགས་ རྙིང་པ་,5,6,187,188,13,phur sgron dang zla ba ,5,person,NA,refexpr,44,44,21CE61BDEC811,སློབ་གྲོགས་ རྙིང་པ,སློབ་གྲོགས་རྙིང་པ,,,FALSE,3,N,nonPron,na,i,none,l,ང་ ཚོ་ སྔོན་མ་  སློབ་གྲོགས་ རྙིང་པ་ རེད་པ །,12A80B0DD3BDA,32358E9902733,རེད་པ,རེད,པ,Ind,Ind,Neutral,Nom?,189,,0,0,1,0,1,0,1,0,1,0,0,0,0,FALSE,FALSE
322CDF1B10DA0,three-flirt-2501,16B537FEE9FFC,B8370E5CC33A,34625E31522,1,PRED,19,2,0,NR,,,NA,slob grogs  rnying pa ,སློབ་གྲོགས་ རྙིང་པ་,2,3,194,195,13,phur sgron dang zla ba ,5,person,NA,refexpr,46,46,1226D7760D212,སློབ་གྲོགས་ རྙིང་པ,སློབ་གྲོགས་རྙིང་པ,,,FALSE,3,N,nonPron,na,i,none,l,<0> སློབ་གྲོགས་ རྙིང་པ་ ཡིན་ ན་ ཡང་ ,2B0371F4037E7,43AEB1C993F3,ཡིན་ ན་ ཡང་,ཡིན,ན་ ཡང,Ind,Ego,Neutral,EvenIf,196,,2,0,0,0,3,0,0,0,1,0,0,0,0,FALSE,FALSE
34ADCC5C21F4A,three-flirt-2501,1AAFAB8F7CC73,3CA3A1829C4F,3748B4787A07B,42,A,4,2,9,R,,,NA, ,ང ས་,1,2,202,203,17,zla ba,5,person,NA,refexpr,48,48,1FED5F32E5239,ང ས,ང,ས,,FALSE,1,N,pers,d,i,agent,p,ང ས་ <0> ཕར་ ཙམ་  བསྐྱལ་ དགོས །,2D2CDCB6B7B90,336F41F9834DB,བསྐྱལ་ དགོས,བསྐྱལ,དགོས,Ind,Ego,Neutral,NA,208,,1,0,0,0,2,2,0,2,1,2,0,2,0,FALSE,TRUE
37D69C7FC68D8,three-flirt-2501,10FC063774E38,,2FDBCF713865D,N/A,OBL,7,2,N/A,R,,,NA,phar  tsam ,ཕར་ ཙམ་,4,5,205,206,24,phar tsam,1,location,NA,refexpr,48,48,1B84C69F57A75,ཕར་ ཙམ,ཕར་ཙམ,,,FALSE,3,N,nonPron,na,i,location/goal,l,ང ས་ <0> ཕར་ ཙམ་  བསྐྱལ་ དགོས །,2D2CDCB6B7B90,336F41F9834DB,བསྐྱལ་ དགོས,བསྐྱལ,དགོས,Ind,Ego,Neutral,NA,208,,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
