id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom
g8mcMqx6vpX,phur sgron,ང་ གསང་སྤྱོད་ ནང་ ལ་ གཟག་ བཞག,52,ང་,287,287,TRUE,i,TRUE,FALSE,S,TRUE,TRUE,FALSE,1,TRUE
1SekdHNOvc4,las khungs nang gsang spyod,ང་ གསང་སྤྱོད་ ནང་ ལ་ གཟག་ བཞག,52,གསང་སྤྱོད་ ནང་ ལ་,288,290,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,4,FALSE
JEdzN8NN15H,zla sgron,ང་ ལ འང་ གཉིད་ལམ་ འདི་ འདྲས་ བཏང་ མྱོང་ ཡོད །,53,ང་ ལ འང་,293,295,TRUE,i,TRUE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE
ivzK7MG84iQ,zla sgron gyi rmi lam,ང་ ལ འང་ གཉིད་ལམ་ འདི་ འདྲས་ བཏང་ མྱོང་ ཡོད །,53,གཉིད་ལམ་ འདི་ འདྲས་,296,298,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,4,FALSE
0828XyDbX5E,zla sgron,ང་ ཡ་ བྲོ་ ཞིག་ དཱ་ མ་ བྱུང་ །,61,ང་ ཡ་,334,335,TRUE,i,TRUE,FALSE,COPLOC,TRUE,TRUE,FALSE,2,TRUE
ayXyokMP8qT,bro (zla sgron),ང་ ཡ་ བྲོ་ ཞིག་ དཱ་ མ་ བྱུང་ །,61,བྲོ་ ཞིག་,336,337,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,2,FALSE
mz4BTO9EMXx,phur sgron,རང་ ལ་ བྲོ་ ཆེན་པོ་ ཞིག་ ཡོད་ ཀྱི་ རེད་ ད །,64,རང་ ལ་,344,345,TRUE,i,TRUE,FALSE,COPLOC,TRUE,FALSE,TRUE,2,TRUE
kuy7mTYUeHK,bro (phur sgron),རང་ ལ་ བྲོ་ ཆེན་པོ་ ཞིག་ ཡོད་ ཀྱི་ རེད་ ད །,64,བྲོ་ ཆེན་པོ་ ཞིག་,346,348,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,4,FALSE
skYUUSN4XT7,phur sgron,ང ར་ བྲོ་ ཆེན་པོ་ ཞིག་ ཡོད་ ཀྱི་ རེད །,66,ང ར་,360,361,TRUE,i,TRUE,FALSE,COPLOC,TRUE,TRUE,FALSE,1,TRUE
J9RTpUVJyU7,bro (phur sgron),ང ར་ བྲོ་ ཆེན་པོ་ ཞིག་ ཡོད་ ཀྱི་ རེད །,66,བྲོ་ ཆེན་པོ་ ཞིག་,362,364,FALSE,n,FALSE,FALSE,EXIST,FALSE,FALSE,FALSE,4,FALSE
UTVhy5sXcOH,phur sgron,རང་ དེང་སང་ ག་རེ་ ར་ ཅིག་ བྱེད་ ཀྱི་ ཡོད །,69,རང་,373,373,TRUE,i,TRUE,FALSE,A,TRUE,FALSE,TRUE,1,TRUE
1Rg10rxheCl,phur sgron gyi byed sgo,རང་ དེང་སང་ ག་རེ་ ར་ ཅིག་ བྱེད་ ཀྱི་ ཡོད །,69,ག་རེ་ ར་ ཅིག་,375,377,FALSE,n,FALSE,TRUE,P,FALSE,FALSE,FALSE,4,TRUE
